"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
1.16749763220154e-05,0.674114888018143,0.144,0.098,0.293380479995925,"Nes","Not Significant"
1.24525653061901e-05,-0.351238646965108,0.388,0.444,0.312920513579251,"Gadd45b","Not Significant"
1.32216475280617e-05,0.256642096730546,0.671,0.642,0.332246780732662,"Plek","Not Significant"
1.50753593160036e-05,0.761304889192364,0.214,0.162,0.378828704251856,"Calhm6","Not Significant"
1.52960843393546e-05,0.67047629899194,0.114,0.072,0.384375303363641,"Rsad2","Not Significant"
1.61607814885703e-05,0.356314392688378,0.449,0.387,0.406104278026283,"Arl4c","Not Significant"
1.71110489886433e-05,-0.31650044886905,0.375,0.435,0.429983550035617,"Klf4","Not Significant"
1.7149912817355e-05,0.930651680041706,0.1,0.061,0.430960159187313,"Card11","Not Significant"
1.74335001342404e-05,0.318712330298192,0.354,0.282,0.438086424873328,"Psmb5","Not Significant"
1.80998839884239e-05,0.634568245004409,0.107,0.065,0.454831984745105,"Gosr2","Not Significant"
1.89284361565248e-05,0.859298351534189,0.105,0.064,0.475652672177312,"Ino80b","Not Significant"
1.98894800360292e-05,0.74640738257894,0.158,0.11,0.499802743825377,"Nudcd3","Not Significant"
1.99993140208441e-05,0.394058611176796,0.348,0.273,0.502562762029791,"Lars2","Not Significant"
2.03678346133749e-05,0.439910367055306,0.172,0.122,0.511823315999499,"Prrc2b","Not Significant"
2.05327278222552e-05,0.412744432983546,0.2,0.142,0.515966917445451,"Ist1","Not Significant"
2.51593633514146e-05,-0.257122835035414,0.336,0.394,0.632229641657698,"Metrnl","Not Significant"
2.54101007473376e-05,0.385042706095131,0.227,0.167,0.638530421679846,"Tifab","Not Significant"
2.58939485594915e-05,0.426320769575,0.276,0.214,0.650689033351461,"Myof","Not Significant"
2.60039294378364e-05,0.68284421614635,0.159,0.112,0.65345274284339,"Ifit2","Not Significant"
2.62050474247623e-05,0.340753384458421,0.457,0.398,0.658506636736851,"Chmp4b","Not Significant"
2.63335334385073e-05,0.407165857668056,0.336,0.272,0.661735361776249,"Psmc3","Not Significant"
2.71782310295716e-05,0.655245279563327,0.172,0.122,0.682961767542106,"Hps3","Not Significant"
2.87937085784143e-05,0.566431474095953,0.162,0.112,0.723557102866972,"Psmc1","Not Significant"
3.01687223175971e-05,-0.808597447859345,0.068,0.1,0.758109823118899,"Slc25a33","Not Significant"
3.13048624229294e-05,0.456126091689201,0.222,0.164,0.786659887825793,"H2-T22","Not Significant"
3.36335525808833e-05,0.678278829778828,0.171,0.123,0.845177542805015,"Hivep3","Not Significant"
3.58243042104259e-05,0.523963206234433,0.217,0.163,0.900228940503792,"Clip1","Not Significant"
3.79829473969441e-05,0.45403771721645,0.181,0.129,0.954473485137807,"Abr","Not Significant"
4.58316902848329e-05,0.540970520531724,0.107,0.067,1,"Ifi206","Not Significant"
4.69782024492821e-05,-0.259299767343943,0.306,0.356,1,"Mrpl33","Not Significant"
4.75936949179275e-05,0.669922357706515,0.118,0.077,1,"Usp18","Not Significant"
4.97863692469219e-05,-0.251819432979368,0.465,0.519,1,"Neurl3","Not Significant"
5.07826761572855e-05,0.294842063667644,0.763,0.694,1,"mt-Nd4l","Not Significant"
5.24327382019399e-05,-0.255366143515706,0.295,0.344,1,"Mrps21","Not Significant"
5.31081716711979e-05,0.403436710883248,0.228,0.171,1,"Supt5","Not Significant"
5.34136712512272e-05,-0.479331719773271,0.103,0.142,1,"Serpinb6a","Not Significant"
5.44522533963074e-05,-0.275934037104773,0.346,0.403,1,"Lgals1","Not Significant"
5.80887270043754e-05,-0.647752021964953,0.134,0.171,1,"Mir22hg","Not Significant"
5.82063653084067e-05,0.595899999832106,0.217,0.164,1,"Ap2b1","Not Significant"
6.20576035873898e-05,0.560279618622731,0.168,0.122,1,"Il2ra","Not Significant"
6.28367730301519e-05,-0.506440745745651,0.149,0.192,1,"Igfbp4","Not Significant"
6.307247912496e-05,0.290814228593981,0.561,0.521,1,"Cd72","Not Significant"
6.4738817810179e-05,-0.346428874025398,0.327,0.372,1,"Tgif1","Not Significant"
6.57444315256964e-05,0.56396717688318,0.159,0.111,1,"Wdr45b","Not Significant"
6.64289371931861e-05,0.41149438494259,0.282,0.221,1,"Susd6","Not Significant"
7.01013810104396e-05,0.697116225611325,0.124,0.085,1,"Mgst3","Not Significant"
7.46828640338412e-05,-0.373175102451688,0.196,0.24,1,"Dpysl2","Not Significant"
7.61133338751825e-05,0.363830945508715,0.31,0.248,1,"Nop53","Not Significant"
7.86961559267039e-05,0.55418255548683,0.159,0.113,1,"Snrpa1","Not Significant"
8.15002532311712e-05,-0.521845861633711,0.115,0.153,1,"Fkbp4","Not Significant"
8.24367102676154e-05,-0.291896700440532,0.23,0.28,1,"Cebpd","Not Significant"
8.33931644662128e-05,-0.261845182455749,0.279,0.326,1,"Hprt","Not Significant"
8.34718500187336e-05,-0.656284037497672,0.126,0.167,1,"Vcam1","Not Significant"
8.70185678434866e-05,0.536342420105091,0.109,0.07,1,"Mxd1","Not Significant"
8.91221537663592e-05,0.611257688928185,0.156,0.11,1,"Usp7","Not Significant"
9.00091227781903e-05,0.606160297657094,0.214,0.163,1,"Nhp2","Not Significant"
9.33896340718765e-05,-0.268971798764807,0.355,0.403,1,"Stk17b","Not Significant"
9.47954161482883e-05,-0.30541748705775,0.308,0.352,1,"Cd302","Not Significant"
9.61323845621413e-05,-0.299439454040771,0.242,0.286,1,"Ube2n","Not Significant"
0.000102915505153239,-0.25003039691565,0.446,0.486,1,"Tle5","Not Significant"
0.000103937551828769,0.445046696685481,0.361,0.309,1,"Psmb10","Not Significant"
0.000106525862826732,-0.315678227498134,0.094,0.129,1,"Gm34455","Not Significant"
0.000119650543458824,-0.317291930791542,0.114,0.153,1,"Pigp","Not Significant"
0.000121245131589803,0.441594428951575,0.183,0.133,1,"Smg1","Not Significant"
0.000132530439938191,0.758220143411865,0.104,0.068,1,"Mid1","Not Significant"
0.00013634816921922,0.503364778213724,0.178,0.13,1,"Dtx3l","Not Significant"
0.00014937674826408,0.485393401634796,0.198,0.15,1,"Tsix","Not Significant"
0.000160261768382631,-0.314660325901392,0.211,0.254,1,"Pten","Not Significant"
0.000164620198598056,0.554256330187173,0.122,0.083,1,"Spn","Not Significant"
0.000164826005808157,-0.365497042948802,0.32,0.371,1,"Tnf","Not Significant"
0.000166030809717792,0.459820061989036,0.149,0.104,1,"Rnf114","Not Significant"
0.0001723730388819,0.348476534053178,0.38,0.319,1,"Rab8b","Not Significant"
0.000172562846364373,-0.286450304633126,0.211,0.254,1,"Cox16","Not Significant"
0.00018692953285875,-0.301534221874589,0.429,0.476,1,"Tlr2","Not Significant"
0.000188593224937304,0.381682807831328,0.214,0.163,1,"Uqcrc1","Not Significant"
0.000189742042189488,0.315135244588348,0.388,0.332,1,"Psmb6","Not Significant"
0.00019021857688632,-0.283071622555903,0.354,0.395,1,"Atp6ap2","Not Significant"
0.000191106714158462,0.296417742399872,0.405,0.35,1,"Psmb9","Not Significant"
0.00019218281919894,-0.531578903338081,0.08,0.109,1,"Pilrb2","Not Significant"
0.000192378555746146,0.546731975799605,0.109,0.073,1,"Abcb1b","Not Significant"
0.000193403221444806,0.50983747499995,0.178,0.131,1,"Tcerg1","Not Significant"
0.000194939419430728,0.251838797128073,0.68,0.62,1,"Ifitm3","Not Significant"
0.000196240030149883,-0.376068967784592,0.206,0.245,1,"Pde4b","Not Significant"
0.000197635536103111,0.370512729033635,0.438,0.389,1,"Pycard","Not Significant"
0.000198070333715899,-0.504893802842433,0.1,0.133,1,"Tspan3","Not Significant"
0.000201721701597879,0.408381767772258,0.217,0.166,1,"Eif2ak2","Not Significant"
0.000214312646670975,-0.362740432445437,0.125,0.163,1,"Serpinf1","Not Significant"
0.000215176075849684,0.255144063676902,0.426,0.364,1,"Mbnl2","Not Significant"
0.000220150083183139,-0.251661014495698,0.213,0.258,1,"Lsm6","Not Significant"
0.000220942909047607,-0.418867940528052,0.285,0.324,1,"Rilpl2","Not Significant"
0.000227513702283615,0.398634780039894,0.275,0.219,1,"1110004F10Rik","Not Significant"
0.000230025481025598,0.661358096384691,0.112,0.075,1,"Tars","Not Significant"
0.000240645410146801,-0.394690524688157,0.25,0.289,1,"Cflar","Not Significant"
0.000267690422503973,-0.487558657302963,0.175,0.212,1,"Tsc22d3","Not Significant"
0.000271957380874079,0.400163795083808,0.256,0.203,1,"Abi3","Not Significant"
0.000287272241864889,-0.320503729262017,0.235,0.277,1,"Dhrs3","Not Significant"
0.000287670355645021,0.595277633144408,0.105,0.069,1,"Col4a3bp","Not Significant"
0.000293399346596505,0.349863532419361,0.343,0.286,1,"Prpf38b","Not Significant"
0.000297980579293891,0.455307185191835,0.209,0.161,1,"Batf3","Not Significant"
0.00030969791513822,-0.300451103791741,0.191,0.233,1,"Lman1","Not Significant"
0.000349359124977894,-0.310057538004222,0.173,0.213,1,"Cd82","Not Significant"
0.000365608133043653,0.618893866575711,0.121,0.083,1,"Fgr","Not Significant"
0.000389735828879771,-0.43655982812696,0.171,0.209,1,"Lmna","Not Significant"
0.000399883191650119,0.435851546808677,0.242,0.192,1,"Tnrc6a","Not Significant"
0.000407666524251506,0.514044772093289,0.109,0.073,1,"Surf1","Not Significant"
0.000408419201570985,0.497709625549514,0.178,0.133,1,"Rest","Not Significant"
0.000409644731276946,0.469103164558994,0.101,0.067,1,"Wbp1l","Not Significant"
0.000418349147332608,-0.286815963613825,0.386,0.448,1,"Ccl12","Not Significant"
0.000427318788942595,-0.272090416720592,0.184,0.224,1,"Smagp","Not Significant"
0.00043136975805624,-0.253861027775846,0.269,0.309,1,"Cmpk1","Not Significant"
0.00045902324842807,-0.344679564942066,0.129,0.163,1,"Yipf4","Not Significant"
0.000460114788795275,0.347113658199608,0.241,0.189,1,"Il2rg","Not Significant"
0.00046563849597865,-0.380710961424553,0.17,0.205,1,"Tmem243","Not Significant"
0.000467288528944649,0.509150491423357,0.216,0.169,1,"Fam32a","Not Significant"
0.000486116452478801,0.33209618473874,0.157,0.114,1,"Nubp1","Not Significant"
0.000492436419187998,0.435467195498214,0.176,0.133,1,"Cnot3","Not Significant"
0.000495547595758676,0.415508545976391,0.272,0.221,1,"Tep1","Not Significant"
0.000499817043997797,0.418530019463905,0.154,0.112,1,"Sirt7","Not Significant"
0.000504536270267507,-0.382653718493125,0.252,0.286,1,"Dennd4a","Not Significant"
0.000514182264880687,0.357340604295924,0.251,0.202,1,"Zmynd15","Not Significant"
0.000514852950204474,0.31527868553693,0.429,0.379,1,"Samhd1","Not Significant"
0.000521200763344753,0.525094943981061,0.15,0.109,1,"Furin","Not Significant"
0.000521248566928703,0.799782087065858,0.105,0.072,1,"Nol12","Not Significant"
0.000536982355101736,0.605378914961959,0.104,0.07,1,"Dnase1l3","Not Significant"
0.000558057950307125,0.446112632783493,0.131,0.092,1,"Parp12","Not Significant"
0.000561985540540119,0.458469898350546,0.125,0.088,1,"Uimc1","Not Significant"
0.000570075827902658,-0.336832077156192,0.14,0.175,1,"Tmcc1","Not Significant"
0.000593113028505333,0.295775571932565,0.407,0.35,1,"Atp6v1e1","Not Significant"
0.000612051729602342,0.42678306866847,0.118,0.082,1,"Nosip","Not Significant"
0.00061238161330741,0.410995140134933,0.198,0.152,1,"Rbm22","Not Significant"
0.000620055667486314,-0.254435408123656,0.249,0.288,1,"Rab20","Not Significant"
0.000631821339943205,0.690518864793634,0.12,0.085,1,"Gm11808","Not Significant"
0.000633873491088247,0.542306135576673,0.177,0.134,1,"Ifih1","Not Significant"
0.000642233247531496,0.464369272901383,0.163,0.121,1,"Ddx54","Not Significant"
0.000649857559576271,0.36359319492616,0.161,0.118,1,"Bdp1","Not Significant"
0.000657456289638741,-0.42122222793527,0.414,0.429,1,"S100a11","Not Significant"
0.00065846618888999,0.37176683134912,0.15,0.108,1,"Stat2","Not Significant"
0.000696029190243493,0.456245868801747,0.154,0.114,1,"Lbr","Not Significant"
0.000719994888599726,0.351027372849737,0.217,0.168,1,"5031439G07Rik","Not Significant"
0.000720921672511047,-0.339927196343695,0.122,0.153,1,"Plin3","Not Significant"
0.000764124079907912,0.531604771495249,0.159,0.119,1,"Csnk1d","Not Significant"
0.000768415743581297,0.379635651821714,0.213,0.167,1,"Pa2g4","Not Significant"
0.000774533628131586,0.491245850009918,0.161,0.121,1,"Api5","Not Significant"
0.000784404887217603,-0.404911544963237,0.224,0.258,1,"Fosl2","Not Significant"
0.000850640774020701,-0.325845125880702,0.128,0.161,1,"Slc9a9","Not Significant"
0.000862447493490339,0.523260637124852,0.127,0.091,1,"Tbk1","Not Significant"
0.000881007023392645,0.277247051585891,0.453,0.406,1,"Slamf7","Not Significant"
0.000882238506586129,0.509628231074337,0.183,0.141,1,"Utp11","Not Significant"
0.000910917336364897,0.47682586906123,0.119,0.084,1,"Mrps23","Not Significant"
0.00092722317242535,0.271967661272126,0.604,0.566,1,"Gpr65","Not Significant"
0.000941453857607099,0.504146042894986,0.114,0.08,1,"Ccdc9","Not Significant"
0.000945896335695571,-0.345175336255823,0.174,0.207,1,"Lsm5","Not Significant"
0.000946525895979893,-0.421669010809563,0.116,0.148,1,"Med21","Not Significant"
0.00094863688456246,0.56728725394266,0.132,0.097,1,"Upf2","Not Significant"
0.000964198409168858,0.396322694037554,0.251,0.206,1,"Tap1","Not Significant"
0.000997232973377659,0.560923713418982,0.128,0.093,1,"Msl2","Not Significant"
0.001006277304437,0.484586974845775,0.143,0.105,1,"Ccdc86","Not Significant"
0.00101086006910295,0.491272084211715,0.12,0.085,1,"Adar","Not Significant"
0.00106412626462738,0.442011842762003,0.159,0.119,1,"Elk3","Not Significant"
0.00109823267288332,0.53837683587132,0.131,0.095,1,"Rars","Not Significant"
0.00111744097468587,0.545404946962924,0.142,0.105,1,"Mak16","Not Significant"
0.00112182152639533,-0.334548051664726,0.149,0.183,1,"Chordc1","Not Significant"
0.00113172127028813,0.364846784860753,0.273,0.226,1,"Dync1h1","Not Significant"
0.00115766472422081,0.604437099295979,0.1,0.069,1,"C3","Not Significant"
0.00118924996203834,0.531803438615446,0.483,0.462,1,"AW112010","Not Significant"
0.00119420860652855,0.337613454362114,0.307,0.254,1,"Rbm8a","Not Significant"
0.00122692866223414,0.605644032932933,0.114,0.082,1,"Zzz3","Not Significant"
0.00123176140171502,0.33725065677536,0.303,0.254,1,"Tmed3","Not Significant"
0.00124668389062586,-0.286463847636642,0.111,0.141,1,"Smox","Not Significant"
0.00127961616078941,-0.274749404856956,0.246,0.281,1,"Cebpg","Not Significant"
0.00135655151196298,0.576292752327223,0.104,0.073,1,"Mgrn1","Not Significant"
