"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.49216566780037e-46,0.946699167103018,0.281,0.134,6.24187813157281e-42,"31","Mrps11"
3.22894297663784e-46,0.663782048545895,0.375,0.195,8.08721057928712e-42,"31","Dnm2"
3.83366496088215e-46,0.836298508143218,0.34,0.175,9.60179726102543e-42,"31","Eed"
5.79623922747681e-46,0.744453539350636,0.412,0.228,1.45172607691384e-41,"31","Lage3"
7.0920896001793e-46,0.920747212906619,0.323,0.164,1.77628476126091e-41,"31","Setx"
1.62479716647591e-45,0.378340834239024,0.775,0.535,4.06946698315558e-41,"31","Eif5"
1.63794690226123e-45,0.39339934210444,0.67,0.418,4.10240181140349e-41,"31","Drap1"
1.97425736372922e-45,0.973455909020557,0.279,0.134,4.94472499319621e-41,"31","Ubr7"
2.04141976041003e-45,1.00343766566567,0.264,0.125,5.11293993192295e-41,"31","Nup153"
2.24201930169287e-45,0.506382887322549,0.592,0.365,5.61536154301997e-41,"31","Rtf1"
2.58446269027471e-45,0.875658844387764,0.305,0.151,6.47304525406203e-41,"31","Derl2"
2.71271087626717e-45,0.71272287035375,0.394,0.214,6.79425566069876e-41,"31","Kxd1"
3.9026811548136e-45,0.888049861700952,0.309,0.155,9.77465522034614e-41,"31","Zwint"
5.0510665252345e-45,0.625121738101562,0.458,0.265,1.26509012191023e-40,"31","Emd"
6.1263219555448e-45,0.373590020853965,0.835,0.615,1.53439859698575e-40,"31","Tomm6"
6.8380687468983e-45,0.953293260845588,0.284,0.139,1.71266269834815e-40,"31","Srp68"
7.74985646197247e-45,0.449522666310052,0.722,0.476,1.94102904946563e-40,"31","Psma1"
7.9893328950762e-45,0.625107914393438,0.469,0.271,2.00100831690079e-40,"31","Polr2a"
9.55039601307426e-45,1.08276673995415,0.255,0.12,2.39199218543458e-40,"31","Cenpc1"
9.7752956678221e-45,0.613109915554797,0.469,0.271,2.44832055296272e-40,"31","Brd4"
1.13280339192893e-44,0.251843063739649,0.968,0.84,2.8372193754252e-40,"31","Cox5a"
1.29367036494877e-44,0.81135543962957,0.398,0.224,3.2401267960507e-40,"31","Ddb1"
1.66402179784129e-44,0.49280162445506,0.652,0.418,4.16770899487329e-40,"31","Gtf2h5"
1.9324684224945e-44,0.584075006596684,0.506,0.299,4.84006041097974e-40,"31","Ilf2"
2.53847738576603e-44,0.830374788801053,0.308,0.154,6.35787046038961e-40,"31","Kin"
3.75173508556424e-44,0.608134065137725,0.394,0.211,9.3965956953042e-40,"31","Rapgef6"
4.40969511420391e-44,0.821959164634003,0.327,0.168,1.10445223830351e-39,"31","Tmx1"
5.47696867571358e-44,0.557874192050053,0.581,0.365,1.37176157451922e-39,"31","Tardbp"
8.61749521729321e-44,0.640065284979212,0.494,0.299,2.15833785212326e-39,"31","Rab8a"
9.3068474914189e-44,0.270626083478212,0.971,0.857,2.33099302270078e-39,"31","Sumo2"
9.97238307416819e-44,0.773280145612533,0.373,0.203,2.49768306475616e-39,"31","Chchd3"
1.11416164056081e-43,0.600116590851586,0.503,0.299,2.79052924494859e-39,"31","U2af2"
1.29907829665049e-43,0.860243413514075,0.339,0.179,3.25367150179081e-39,"31","Smn1"
1.41072011840772e-43,0.794913680849689,0.391,0.219,3.53328960856397e-39,"31","Idh3a"
1.48659462735503e-43,0.559973668993791,0.283,0.134,3.7233249036734e-39,"31","Hk2"
1.58334763219257e-43,0.416538466736602,0.379,0.196,3.96565247958952e-39,"31","Lyn"
1.69477858000916e-43,0.498504751593335,0.663,0.439,4.24474243149095e-39,"31","Hnrnpul2"
2.30743536634249e-43,0.683663039315473,0.306,0.15,5.7792026185414e-39,"31","Map3k1"
2.3250541512663e-43,0.464646147008529,0.626,0.399,5.82333062726157e-39,"31","Rwdd1"
2.42211081726048e-43,0.725897009805885,0.401,0.223,6.0664187529106e-39,"31","Cpsf2"
2.62977586500862e-43,0.410585600643889,0.865,0.705,6.58653663150058e-39,"31","Uqcr11"
3.97136939350004e-43,0.488256191037516,0.622,0.397,9.94669178296021e-39,"31","Ewsr1"
4.5343694901593e-43,0.791967313546384,0.299,0.148,1.1356781825053e-38,"31","Itpr1"
4.73992954707341e-43,0.940086326641197,0.277,0.136,1.18716275436001e-38,"31","Zbtb1"
5.25018679935519e-43,0.793928404859348,0.301,0.15,1.3149617857665e-38,"31","Limd1"
5.7282126304108e-43,0.894413965979989,0.265,0.126,1.43468813541269e-38,"31","Ddx47"
6.74674508829306e-43,0.637552275191349,0.463,0.277,1.68978977481388e-38,"31","Ifnar2"
8.32853737789166e-43,0.834113009792443,0.286,0.14,2.08596547166675e-38,"31","Vamp3"
8.7639696053255e-43,0.688841071324737,0.376,0.203,2.19502382734982e-38,"31","Tpp2"
1.02310749433742e-42,0.647235739666012,0.428,0.243,2.5624750303175e-38,"31","Eif4ebp2"
1.82459817467397e-42,0.528946596934796,0.407,0.223,4.56988858828843e-38,"31","Cdkn1b"
2.07004361977088e-42,0.841334414749906,0.288,0.142,5.18463125007815e-38,"31","Snx4"
2.17197237873499e-42,0.793495646550148,0.25,0.115,5.43992201977966e-38,"31","Man2a1"
2.76028841918259e-42,0.407964109992875,0.278,0.13,6.91341837468473e-38,"31","Lilrb4a"
3.17201385272284e-42,0.609882612173065,0.438,0.252,7.94462589552963e-38,"31","Bcl10"
3.32275907635391e-42,0.904833478848801,0.268,0.129,8.32218238263601e-38,"31","Eif2b5"
4.60322138465857e-42,0.660396420585176,0.442,0.257,1.15292282800158e-37,"31","Got2"
